Identifiant de la station;Nom de la station;Capacité de la station;Lattitude;Longitude;Coordonnées géographiques
653055049;Place du Cornillon - Stade de France;34;1.715.041.593;512.891.003;"48.9254069584,2.36444268376"
82508970;Verdun - Adrien Damalix;26;516.740.351;2.058.302.143;"48.8222334179,2.42153283209"
63297;Eglise d'Auteuil;21;1.931.652.267;1.099.462.467;"48.8474984177,2.26848387135"
1063404053;République - Danton;20;-1.249.111.389;355.629.939;"48.8524917218,2.46203452349"
989753852;Square des Epinettes;20;1.729.949.581;1.566.170.336;"48.8938390978,2.32595399022"
129136818;Square du Carrefour de l'Insurrection;23;1.370.909.748;1.786.876.541;"48.8208645598,2.29111343622"
27369223;Maine - Antoine Bourdelle;17;-1.291.708.637;-1.940.566.046;"48.8430853175,2.32026394678"
1002059045;Pont Neuf - Rivoli;27;-1.641.242.717;1.848.763.713;"48.8600898926,2.34405755997"
259977414;Palais des Sports;22;-899.038.350;-1.542.102.961;"48.8334685174,2.28587206453"
213848056;Parvis Corentin Celton;55;797.163.237;-948.946.200;"48.8274725252,2.278431952"
1021553839;Faubourg Poissonniere - Delta;36;-291.473.907;-591.891.839;"48.8825558076,2.34974820167"
1025995767;Hôtel de Ville;21;407.081.128;-1.725.784.185;"48.8138106284,2.50967592001"
54000466;Uzès - Montmartre;29;-1.203.436.222;772.036.782;"48.8707909802,2.34310101718"
1035816937;Poissonniers - Nord;28;-619.772.144;-1.462.527.739;"48.8925112135,2.35222287476"
49772483;Damrémont - Caulaincourt;18;-1.950.822.190;-495.797.745;"48.8871450908,2.33258809894"
35089539;Manin - Crimée;23;-485.050.521;-917.790.590;"48.8831217744,2.38636706024"
76488849;Fernand Braudel - Vincent Auriol;36;-1.956.238.909;-1.996.271.629;"48.8363785232,2.3723404482"
486833337;Bachaumont - Montmartre;33;1.174.185.953;1.464.741.000;"48.8661739508,2.34497755766"
82573931;René Binet - Porte de Montmartre;37;-1.055.891.072;1.473.649.501;"48.8990510995,2.3365534097"
390075668;Stade Georges Carpentier;40;1.868.147.896;273.938.478;"48.8204824384,2.36683219671"
35147530;Pierre Levée - Fontaine Timbaud;23;-677.388.063;2.024.097.546;"48.8663272337,2.37111635506"
653122771;Marc Sangnier - Division Leclerc;24;2.135.353.757;177.224.556;"48.7859965231,2.3299555108"
36473;Cadet - La Fayette;19;-950.431.065;23.855.831;"48.8756016327,2.34357040375"
653126035;Vanne - Saussaies;20;48.786.404;2.338.848;"48.786404,2.338848"
54000615;Buzenval - Avron;50;2.050.298.366;-186.381.550;"48.851617205,2.40151359731"
559980654;George V - Christophe Colomb;24;488.704.294;23.011.638;"48.8704294,2.3011638"
109609241;Colmar - Victor Hugo;32;215.704.678;-1.204.681.861;"48.886522511,2.1739609167"
213999554;Jean Jaurès - Ouvrières Pivéreuses;20;-1.988.422.797;-149.072.417;"48.9104234375,2.39957660437"
439750210;Italie - Jardin Joan Miro;26;372.930.364;1.694.382.537;"48.8199091405,2.3592948541"
39151458;Goutte d'or - Barbès;20;2.130.891.978;1.230.605.623;"48.8851243236,2.34969623387"
1057335613;Quai du Président Roosevelt - Pont Aval;30;1.807.153.892;644.679.932;"48.8343883676,2.26568207145"
653141822;Île de la Jatte;23;-385.380.776;1.486.393.596;"48.8940361613,2.26663392037"
100923502;Crozatier - Faubourg Saint-Antoine;29;-885.145.699;488.030.256;"48.8504400134,2.37890136621"
1765749389;Karl Marx;16;-1.421.718.369;1.438.383.205;"48.7845436131,2.36472968012"
100933541;Vivaldi - Antoine-Julien Hénard;27;-2.045.203.966;586.038.384;"48.8419236633,2.38972897947"
1015246367;Champs-Elysees - Bassano;25;-1.975.794.651;974.967.291;"48.8718118078,2.30023898184"
37504995;Jean Monnet - Iles;32;1.059.459.032;138.688.498;"48.8233939841,2.24970731949"
82468690;Dutot - Place Alleray;56;-149.053.428;-422.507.514;"48.8368260918,2.30717010956"
54000564;Paradis - Hauteville;31;-1.296.960.253;-1.089.188.020;"48.8749999547,2.35227574019"
54000555;Jean Mermoz - Champs-Elysées;33;577.473.718;1.394.107.844;"48.8696898569,2.31073245406"
201923447;Murat - Porte de Saint-Cloud;38;-615.085.453;1.025.011.282;"48.8375086262,2.25776519626"
35600927;Mairie du 16ème;35;-567.400.518;-2.095.017.986;"48.8639368485,2.27659530938"
52518;Louis Lumière;22;-590.864.648;1.704.122.773;"48.8621619807,2.41112578186"
15463487;Pergolèse - Marbeau;27;1.915.418.806;125.090.880;"48.8735687069,2.28151252253"
35317080;Emile Reynaud - Porte de la Villette;22;-485.740.187;-672.743.033;"48.9009895363,2.38870225847"
653187900;Adolphe Lalyre - Armand Silvestre;40;48.904.197;2.273.395;"48.904197,2.273395"
1064000778;Gare d'Austerlitz - Pont Charles de Gaulle;55;-1.015.362.440;888.609.806;"48.8423198301,2.36703000963"
1074060095;Lally-Tollendal - Armand Carrel;28;282.918.928;73.210.679;"48.8827006622,2.37471755594"
471094898;Olivier de Serres - Leriche;25;801.784.582;-2.026.384.864;"48.8346022172,2.2957482934"
653180903;Paix - Verdun;35;48.900.504;2.261.173;"48.900504,2.261173"
101759167;Lecourbe - Convention;46;42.843.307;1.196.491.766;"48.8392331924,2.29151979089"
27363389;Bercy - Traversiére;30;203.156.840;934.297.019;"48.8461926426,2.37038008869"
66491382;Guy Môquet - Compoint;36;-1.117.062.396;-1.423.162.198;"48.8921355904,2.32321947813"
7234;Colonel Pierre Avia;29;2.011.418.675;2.057.415.667;"48.8296843301,2.27534258685"
54000631;Victor Hugo - Bineau;25;-1.183.685.219;-605.658.983;"48.8875822589,2.27838903666"
27415333;Crimée - Ourcq;56;-1.125.843.350;-1.867.736.241;"48.8941041403,2.37294608847"
125881065;Metz - Marne;33;48.891.163;23.865.705;"48.891163,2.3865705"
99950133;André Mazet - Saint-André des Arts;55;605.712.791;-744.042.906;"48.8537558106,2.33909580857"
599135701;Ramponeau - Belleville;44;-1.564.249.498;1.639.253.540;"48.8710311376,2.37905685211"
54000612;Cambrai - Benjamin Constant;43;2.103.622.037;-361.623.381;"48.8959473685,2.38113380225"
2254322638;Verdun - Pierre et Marie Curie;0;48.812.909;2.370.697;"48.812909,2.370697"
128887067;Ségur - d'Estrées;19;-1.049.212.399;-653.133.694;"48.851419979,2.30970449746"
72765603;Boulangers - Cardinal Lemoine;20;488.462.904;23.521.495;"48.8462904,2.3521495"
37815993;Mutualité;37;-1.554.716.023;-383.069.568;"48.8482255727,2.35028732568"
27414601;Saint-François-Xavier;42;-1.587.533.658;-472.688.712;"48.8515448477,2.31461495161"
596872103;Lucie Aubrac - Fort;30;359.446.416;1.622.149.329;"48.818144834,2.27118462324"
213679512;Sibelle - Alésia;25;1.709.123.023;-1.065.114.843;"48.8267017585,2.33849834651"
85147829;Hôtel de Ville;26;2.105.497.792;-1.171.615.358;"48.8349588517,2.24168032408"
631773910;Carnot - Pâquerettes;26;-1.009.931.709;419.565.973;"48.7959293943,2.42618411779"
213680917;Abbé Carton - Plantes;25;-1.183.826.538;-579.584.213;"48.8276738232,2.3209181428"
390212609;Théophile Gautier - François Millet;30;-851.607.612;146.014.295;"48.8503482132,2.27302998304"
129121741;Belleville - Couronnes;50;599.422.205;-1.921.297.550;"48.8688310829,2.38098621368"
567884788;Vincent Auriol - Louise Weiss;22;903.161.667;650.171.138;"48.8340019355,2.37038880587"
54000597;Bayen - Pereire;22;-70.744.216;-697.089.388;"48.8818044091,2.29210887104"
571923059;Bordier - Félix Faure;48;-745.264.352;64.550.038;"48.9039075188,2.38300591707"
394404659;Gare Saint-Lazare - Cour du Havre;46;2.031.419.532;1.017.559.200;"48.8756744009,2.32655983418"
54000595;Navier - Epinettes;36;-557.492.861;1.604.218.447;"48.8958778077,2.32267767191"
437597018;Invalides - Duroc;29;-1.590.743.016;-203.592.055;"48.8477924733,2.31619209051"
129114993;Belleville - Porte des Lilas;32;493.946.651;322.229.892;"48.8766039189,2.40476969113"
82328045;Victoria - Place du Chatelet;22;-917.954.259;2.058.577.229;"48.8579925915,2.34691679478"
255207155;Lassus - Delouvain;20;-2.075.303.753;1.238.248.128;"48.8755044846,2.38903273255"
29327;Stade Auguste Delaune;21;1.054.228.972;-1.839.466.526;"48.8089637868,2.43452042341"
653127524;Gustave Eiffel - Parc des Impressionnistes;30;-877.495.350;1.869.023.966;"48.9039061965,2.2946908325"
66491408;Calmette;32;-1.649.446.344;-1.152.905.023;"48.881049251,2.42499321699"
100902274;Roquépine - Malesherbes;37;-1.291.942.697;1.173.464.955;"48.8734507339,2.32040449977"
27415215;Romain Rolland;25;580.863.533;-1.044.336.470;"48.8202152297,2.32341442344"
129161858;République - Henri Barbusse;32;-526.459.265;449.186.411;"48.9066155363,2.38943248987"
653035822;Jeûneurs - Mulhouse;28;48.868.997;2.346.925;"48.868997,2.346925"
66491368;Sorbonne - Ecoles;50;1.703.167.572;1.475.534.474;"48.8496865662,2.34349966049"
1056986761;Terroirs de France - Lheureux;55;1.715.247.385;2.107.260.504;"48.8321202707,2.38861810416"
284711589;Beaumarchais - Pas de la Mule;18;1.097.534.559;-578.232.367;"48.855580507,2.36843336734"
1056995858;Gergovie - Vercingétorix;29;-1.711.079.334;1.125.917.574;"48.8345341388,2.31315454743"
52456;Pré Saint-Gervais - Lilas;28;-1.684.266.184;278.603.329;"48.877870627,2.39590734243"
27415123;Boussingault - Tolbiac;28;-1.204.832.868;-2.002.490.650;"48.8260351661,2.342176808"
404947652;Place Fernand Forest;33;-958.720.746;-1.283.850.936;"48.8492691438,2.28186316788"
1057179405;Résistance - Hoche;30;1.000.420.356;1.086.666.591;"48.8642734237,2.43578441441"
653080383;Bruneseau - Quai d'Ivry;48;1.511.469.271;1.679.068.393;"48.8249456376,2.38856613636"
303452950;Hôtel de Ville de Fontenay-aux-Roses;34;-1.058.948.328;-835.124.641;"48.7908446035,2.28714559303"
135806005;Mairie de Romainville;17;48.885.109;2.435.679;"48.885109,2.435679"
1057302263;Place Nationale - Château-des-Rentiers;18;48.829.566;2.365.053;"48.829566,2.365053"
1062238429;Place de l'Europe;17;-1.848.154.422;-482.710.073;"48.8252985884,2.39456791431"
13191324;Assas - Luxembourg;33;-801.086.735;-1.580.237.137;"48.8437344688,2.33342838188"
27415150;Bobillot - Paulin Mery;23;41.695.672;-387.514.533;"48.8298998417,2.35433567667"
391845823;Candale - Mehul;25;2.102.669.791;-1.789.788.537;"48.8893935006,2.41437971592"
312870435;Dunkerque - Trudaine;16;1.218.046.080;1.957.665.983;"48.8821516677,2.34632536769"
100967498;Stalingrad - Rigollots;41;385.621.659;1.411.203.715;"48.8499740384,2.45557576418"
58311330;Place des Droits de l'Enfant;24;488.274.804;23.319.217;"48.8274804,2.3319217"
1057373549;Gare RER les Grésillons;22;2.088.800.668;-1.623.412.463;"48.9198986336,2.31458459136"
1062797394;Place de la Madeleine - Royale;25;1.641.693.612;-1.604.406.515;"48.8692280526,2.32442110777"
82574198;Mairie d'Issy les Moulineaux;41;-1.319.382.709;1.575.340.592;"48.8237677925,2.27231115103"
653092274;Porte de Pantin;33;-687.930.420;1.149.947.470;"48.8891997256,2.39501819015"
15153595;Nationale - Vincent Auriol;33;-553.103.123;2.138.507.831;"48.832527084,2.36235441039"
1074142878;Hôtel de Ville;0;48.809.375;2.188.713;"48.809375,2.188713"
442739463;Place de la République - Temple;18;1.820.077.604;164.261.962;"48.8672112019,2.36354643705"
1063984816;Gare du Nord - La Chapelle;18;-1.309.452.825;361.368.260;"48.8841782873,2.35610570759"
128878135;Village Saint-Paul;28;-1.785.259.226;1.084.670.249;"48.8526398666,2.3607301712"
1063044618;Bas - Gabriel Péri;30;82.484.969;-959.427.936;"48.9158558054,2.29480952024"
128834707;Jean-Jacques Rousseau - Deux Ecus;22;-587.341.149;-1.698.666.794;"48.8629780597,2.34146352857"
653110858;Silly - Louis Blériot;23;143.612.218;-24.389.234;"48.8321904537,2.23401993513"
82429586;Duméril - Jeanne d'Arc;41;-741.407.534;332.740.532;"48.8381516081,2.35710844956"
54000589;Cambronne - Mademoiselle;67;-1.293.143.538;-955.015.732;"48.84327733,2.30230766886"
74692052;Francoeur - Caulaincourt;34;-477.861.364;-1.291.156.315;"48.889994441,2.34252970666"
66896925;Evangile - Aubervilliers;21;1.515.270.980;445.039.667;"48.8950395419,2.36879691482"
80077998;Lorraine - Jean Jaurès;19;488.863.865;23.825.772;"48.8863865,2.3825772"
54000568;Philippe-Auguste;48;2.110.363.027;1.319.292.625;"48.8518534883,2.39329453558"
54000559;Jouffroy d'Abbans - Wagram;40;1.314.803.209;349.397.850;"48.8819732984,2.30113215744"
210561800;Saint-Romain - Cherche-Midi;17;-1.096.331.814;799.967.196;"48.8470815908,2.32137478888"
911767210;Alexandre Parodi - Quai de Valmy;24;1.166.089.473;462.746.448;"48.8793594194,2.36659616232"
82567101;Château - République;26;-601.325.373;1.069.324.447;"48.8629238006,2.4155035615"
50191171;Thionville - Ourcq;24;-709.620.046;-662.996.763;"48.8891761374,2.38336533308"
80216231;Belidor - Gouvion-Saint-Cyr;40;1.478.853.039;-55.206.107;"48.8802215405,2.2854680568"
1062250686;11 Novembre 1918 - 8 Mai 1945;36;-1.495.713.239;1.964.967.447;"48.8088953377,2.53824211657"
42603855;Liège - Moscou;17;488.795.431;23.264.628;"48.8795431,2.3264628"
129067920;Mouton Duvernet - Général Leclerc;39;1.846.420.565;1.684.380.494;"48.8316325183,2.32931211591"
35447568;Guy Môquet - Etienne Dolet;23;325.344.395;190.695.425;"48.8152700999,2.298078277"
210565680;Vaneau - Sèvres;35;1.039.004.111;312.709.249;"48.8485632331,2.32042182593"
549480297;Halle Freyssinet - Parvis Alan Turing;23;-2.009.005.694;2.068.169.449;"48.8329849713,2.37130075693"
100859941;Raspail - Bac;52;2.066.946.183;-779.406.667;"48.8556287211,2.32566028833"
468843711;Saint Georges - d'Aumale;23;-1.517.430.727;1.244.825.641;"48.877786396,2.33742982149"
353462947;Richard Wallace - Place du 8 Mai 1945;30;738.411.701;291.232.397;"48.8786679479,2.24203437567"
66491401;Fragonard - Porte de Clichy;56;-976.228.277;-1.061.312.668;"48.8941556334,2.31438931078"
54000544;Jussieu - Fossés Saint-Bernard;33;705.653.995;1.185.320.897;"48.84718551,2.35348585993"
54000571;Dugommier;55;-1.210.674.598;-1.905.839.221;"48.8388110488,2.38965779543"
1062192012;Gare Rosny-Bois-Perrier;36;-141.142.427;-1.278.458.370;"48.8811502334,2.48043682426"
217235307;Place Carnot;25;-86.489.939;1.723.791.204;"48.8559393219,2.44153171778"
129086648;Ceinture du Lac Inferieure - Saint-Cloud;41;1.281.998.487;-1.619.537.448;"48.8621807093,2.26178716868"
653046029;Place Valhubert;37;2.011.004.254;-936.910.575;"48.8441825773,2.36403666437"
214122655;Lagny - Joffre;31;-1.906.629.064;-887.412.691;"48.8493068708,2.41794973612"
129134084;Morice - Général Leclerc;25;3.723.287;-1.730.674.658;"48.9024547198,2.31289297342"
427678168;Lucien Sampaix - Récollets;46;-859.168.356;-123.960.853;"48.8743303776,2.36212290823"
976762284;Place du Général de Gaulle;28;488.525.288;24.877.332;"48.8525288,2.4877332"
224589573;Michelet - Assas;18;-1.313.433.670;2.097.783.324;"48.8427415028,2.3350211978"
1057769632;Porte de Saint-Ouen - Henri Huchard;26;-1.104.735.864;-644.020.578;"48.8987083664,2.32953608036"
27415327;Courcelles - Pierre Demours;26;-1.841.571.944;406.595.801;"48.8837697333,2.29858466343"
85118872;Indre - Prairies;38;-1.045.133.538;-1.442.126.212;"48.8625439851,2.40329045802"
66491394;Square Saint-Ambroise;43;48.860.934;2.375.841;"48.860934,2.375841"
82396562;Mairie du 10ème;19;18.610.691;2.035.706.205;"48.8720894499,2.35758259892"
15387809;Mozart - Jasmin;62;1.343.840.265;2.103.988.601;"48.8528612487,2.26848357065"
653059879;Gare RER;40;1.731.171.953;-1.407.932.025;"48.9355432425,2.34714880586"
213952930;Proudhon - Président Wilson;30;-623.867.298;-1.401.122.760;"48.9064427635,2.35849052668"
1034242363;Place François Mitterand;34;1.115.174.728;-1.900.398.568;"48.8649278202,2.4429583177"
1599921040;Jessaint - Marx Dormoy;30;11.439.420;1.226.005.245;"48.8848454311,2.35893040895"
365181481;Guy Môquet - Saint-Ouen;53;-402.241.177;1.120.304.271;"48.892777719,2.32703357935"
287096529;Paul Klee - Place Augusta Holmes;43;1.416.230.937;1.919.683.654;"48.8389464174,2.3704235664"
27363558;Wurtz - Tolbiac;28;704.378.510;1.962.962.239;"48.8263119562,2.34458595514"
129142199;Marcel Yol - Jullien;30;1.609.840.604;1.724.181.681;"48.825376118,2.28723501806"
129079313;Commerce - Letellier;44;-1.789.353.364;-1.497.068.011;"48.8479766037,2.29662451966"
210751059;Hôpital - Campo-Formio;16;48.835.405;2.358.218;"48.835405,2.358218"
34235349;Jean Calvin - Tournefort;28;-642.674.090;1.457.635.224;"48.8415885693,2.34848957509"
620676855;Camille Groult - Guy Môquet;22;43.484.890;2.063.021.820;"48.7874827465,2.39767257124"
101491821;Jean Moulin - Place Victor et Hélène Basch;41;1.275.012.320;-507.049.688;"48.8276491024,2.32619673014"
214119792;Gare RER - Malleret-Joinville;20;48.802.936;242.531;"48.802936,2.42531"
42720305;Monceau - Malesherbes;38;488.795.079;23.145.456;"48.8795079,2.3145456"
221036108;Charonne - Bureau;47;48.854.176;2.396.093;"48.854176,2.396093"
491687415;Delizy - Louis Nadot;22;-1.249.520.606;1.071.772.691;"48.8962128456,2.40945786238"
39202840;Rochechouart - Martyrs;20;1.134.262.577;-1.635.479.148;"48.8821937796,2.34054956585"
476155906;Saint-Antoine Sévigné;26;488.550.222;23.612.322;"48.8550222,2.3612322"
15309674;Square Montholon;21;-76.752.576;-1.337.409.104;"48.8766203775,2.34576411545"
129083553;Porte de Saint Cloud - Parc des Princes;32;-1.166.117.162;-1.952.291.777;"48.8386627571,2.2525164485"
653159330;Manufacture Nationale;28;2.032.424.753;-598.104.605;"48.828785141,2.22372226417"
102724418;Général Leclerc - Bièvre;25;-212.879.820;-1.875.178.699;"48.7824144287,2.31666952372"
37848502;Pierre Brossolette - 12 Février 1934;25;5.061.728;-1.511.980.057;"48.8176291291,2.30749636889"
27363205;Porte de la Plaine;35;-1.415.295.651;913.143.438;"48.8280516961,2.29242771864"
117480156;Enfants du Paradis - Peupliers;40;-1.122.397.183;1.817.788.981;"48.8331226865,2.25714594126"
74858883;Pereire - Saussure;32;488.882.568;23.102.882;"48.8882568,2.3102882"
653194214;Hôtel de Ville de Rueil-Malmaison;20;48.878.194;2.181.724;"48.878194,2.181724"
39878420;Pyrénées - Dagorno;20;980.003.245;-1.895.942.385;"48.8554257707,2.4051643163"
210566542;Square Boucicaut;60;-893.455.108;-1.545.372.971;"48.8512964337,2.32506182045"
123095125;Alibert - Jemmapes;60;-1.003.190.110;-1.611.313.219;"48.871044052,2.36610446199"
244498842;Bois de Vincennes - Gare;50;2.114.438.372;-1.312.668.977;"48.8360222429,2.47083399508"
210740080;Gare du Nord - Hôpital Lariboisière;49;48.881.949;2.352.339;"48.881949,2.352339"
102290754;Mairie du 17ème;24;372.681.365;1.067.554.023;"48.8841618487,2.3220794311"
586539770;Marne - Germain Dardan;22;1.247.908.929;1.885.712.868;"48.811542704,2.30307072401"
42517412;Gambetta - Saint Fargeau;24;1.455.204.007;387.399.812;"48.8712446104,2.40390568972"
102314792;Etienne Jodelle - Saint Ouen;33;247.082.438;197.571.813;"48.8879401639,2.32612442031"
213685090;Cevennes - Bergers;29;-338.848.101;2.061.988.513;"48.8424076513,2.28103771806"
213676294;Chevaleret - Tolbiac;21;4.882.941;2.375.934;"48.82941,2.375934"
632007124;Lucie Aubrac - Franklin;36;-1.462.862.436;-1.344.447.124;"48.8622391601,2.44358628988"
101024234;Quai Panhard et Levassor;57;833.136.971;-39.157.498;"48.8283748281,2.38427374581"
35908;Cujas - Saint-Michel;19;-1.789.705.024;73.670.998;"48.8481913486,2.34183165485"
213691542;Porte Maillot - Pereire;52;48.877.775;2.284.444;"48.877775,2.284444"
214139374;Gare RER de Gentilly;30;1.446.384.064;791.999.359;"48.8142804504,2.34103471041"
653042442;Place aux Étoiles;40;1.023.250.640;1.472.336.869;"48.9183562941,2.35234256834"
129095489;Batignolles - Abel Truchet;28;1.952.450.413;-256.085.379;"48.8831039046,2.32383474909"
252339799;Edouard Vaillant - Paul-Adolphe Souriau;28;-603.851.532;248.058.485;"48.8348458588,2.24794596434"
129061615;Primo Levi - Frigos;34;497.135.553;-1.606.409.380;"48.8309484485,2.37965351593"
1988517250;Stalingrad - Henri Luisette;26;1.798.706.317;944.772.806;"48.7836309246,2.36693594676"
121025345;Chabrol - d'Hauteville;11;-1.008.815.740;-1.069.099.060;"48.877018388,2.35131796449"
101746493;Théâtre - Lourmel;53;-1.740.045.628;1.944.210.581;"48.8482070398,2.28986587375"
102313219;Belliard - Damrémont;34;-703.862.799;-2.126.731.577;"48.8966923878,2.33802345039"
100863462;Musée d'Orsay;65;639.992.090;-1.781.555.843;"48.8597261579,2.32586044818"
54000549;Villersexel - Saint-Germain;16;-1.122.595.249;1.415.358.728;"48.8582970012,2.32379347086"
41523981;Mairie du 15ème;32;488.417.762;22.986.539;"48.8417762,2.2986539"
1055541632;Place Tony de Graaff;42;488.181.645;22.458.109;"48.8181645,2.2458109"
266052390;Melun - Jean Jaurès;28;1.798.961.939;-998.990.784;"48.8837796723,2.37647742033"
1599931563;République - Auguste Perret;30;-1.020.247.116;1.981.556.790;"48.7869528095,2.35185943544"
7261;Athènes - Clichy;20;1.385.959.396;1.290.778.080;"48.8781137879,2.32956021946"
285726279;Quai de Valmy;26;-1.097.801.947;1.204.240.505;"48.8812695158,2.36818604171"
284787594;Place d'Italie - Vincent Auriol;40;-1.994.838.638;-900.265.737;"48.8314818745,2.35675502923"
38280;Saint-Didier - Raymond Poincaré;17;321.324.002;297.882.587;"48.8664231202,2.28586349719"
457834134;André Maurois - Joseph et Marie Hackin;29;488.778.983;22.789.591;"48.8778983,2.2789591"
478385490;Charles Gide - Fort de Bicêtre;30;444.374.074;-1.260.060.521;"48.8071937957,2.35398441553"
54000562;Square Alban Satragne;30;-1.289.054.970;929.941.629;"48.8753405484,2.35588476062"
443402852;Place de Lévis;48;-1.385.012.794;161.282.118;"48.8835468515,2.31319338083"
82565383;Jacques Kellner - Saint-Ouen;47;-882.373.242;-635.071.631;"48.8958094858,2.32789740916"
129016495;Taitbout - La Fayette;53;-491.511.643;-280.510.185;"48.8733298892,2.33526259661"
488800137;Portugais - Kléber;26;488.712.148;22.937.349;"48.8712148,2.2937349"
1057091571;Esplanade du Foncet - Camille Desmoulins;28;-657.945.164;1.150.809.389;"48.8270902335,2.2606857866"
1062704564;Bourg l'Abbé - Saint-Martin;42;449.355.465;1.143.175.269;"48.8639333195,2.3524062708"
81212212;Jean Jaurès - Jules Jacquemin;24;61.545.451;-1.375.736.344;"48.884330536,2.40829024552"
128841079;Cambon - Rivoli;40;-1.994.502.896;-1.242.172.039;"48.866143391,2.32518006471"
443153677;Perle - Vieille du Temple;36;488.601.346;23.611.206;"48.8601346,2.3611206"
1062245074;Roger Salengro - Général de Gaulle;27;-954.828.548;1.086.587.051;"48.8200290104,2.48467605561"
39169029;Sorbier - Ménilmontant;24;1.795.471.605;-775.069.217;"48.8685423957,2.38977212459"
54000465;Etienne Marcel - Montorgueil;28;1.850.090.559;576.972.389;"48.8645056726,2.3461959511"
42341698;Cléry - Montmartre;44;48.867.458;23.445.211;"48.867458,2.3445211"
1063000561;Gardenat-Lapostol - Velettes;20;4.887.387;2.224.185;"48.87387,2.224185"
48800374;Place de l'Hôtel de Ville;14;488.573.314;2.351.458;"48.8573314,2.351458"
15290700;Aboukir - Alexandrie;21;-1.279.519.175;-594.367.919;"48.8686834444,2.35020432695"
27414358;Saint-Honoré - 29 juillet;20;1.022.931.381;-2.096.316.735;"48.8655711428,2.33056741758"
39887632;Choisy - Malmaisons;25;-47.859.600;-1.029.029.502;"48.821919703,2.36334688341"
653031913;Réaumur - Montmartre;19;720.652.499;-2.044.049.067;"48.8682309998,2.34382603389"
210328645;Place André Malraux;19;-366.721.126;1.402.498.256;"48.8639251587,2.33562268317"
1074390359;Youri Gagarine - Commune de Paris;33;1.711.638.157;-693.701.661;"48.782427463,2.39397346973"
13356269;Assas - Rennes;32;-315.378.470;-197.329.639;"48.8492084999,2.32851454623"
39311270;Pasteur - Cotentin;33;488.389.284;2.316.356;"48.8389284,2.316356"
82588494;Verdier - République;29;807.078.406;-1.225.699.545;"48.8154037663,2.31739372015"
